행정표준용어현황,,,,,,,,
NO,구분,용어명,용어영문명,영문약어명,정의,주제영역,등록일,상태
50,표준어,API,APPLICATION PROGRAMMING INTERFACE,_API,"소프트웨어 애플리케이션을 개발하기 위한 여러 가지 함수의 집합.
",전자정부,2006-11-23,사용중
51,표준어,ARS,AUTOMATIC RESPONSE SYSTEM,ARS,"음성으로 된 각종 정보를 기억장치에 저장하여 사용자가 원하는 정보를 자동으로 전달하는 시스템.

",전자정부,2010-02-25,사용중
52,동의어,AS,AFTER-SALES SERVICE,_AS,"상품을 판 뒤 제조업자가 그 상품의 설치, 수리, 점검 따위를 책임지는 일.
",전자정부,2006-11-27,사용중
53,동의어,ASEAN,ASSOCIATION OF SOUTH-EAST ASIAN NATIONS,_ASEAN,"동남아지역의 공동안보 및 자주독립 노선의 필요성 인식에 따른 지역협력 가능성을 모색하기 위해 창설된 지역협력기구
",대외경제협력,2006-11-27,사용중
54,표준어,ASP,APPLICATION SERVICE PROVIDER,ASP,"애플리케이션 서비스 제공업체

",수출입통관,2011-09-26,사용중
55,표준어,ATA까르네,ATA CARNET,ATACRT,"아타(ATA)협약 가입국간에 일시적으로 물품을 수출입 또는 보세(保稅)?운송할 경우, 이에 필요한 통관서류나 담보금 대신 이용하는 증서.
",수출입통관,2006-11-27,사용중
56,표준어,ATA까르네발급단체,ATA CARNET ISSUE BODY,ATACIB,"A.T.A 까르네의 발급을 할 수 있도록 관세청장에 의해서 승인된 단체로서 서울 상공회의소와 부산상공회의소, 안양상공회의소가 인가되어 있음

",정보화 및 국제협력,2010-02-26,사용중
57,표준어,ATA까르네발급업체,ATA CARNET ISSUE CORPORATION,ATACIC,"A.T.A 까르네 증서를 발급받은 업체

",정보화 및 국제협력,2010-02-26,사용중
58,표준어,ATA까르네보증단체,ATA CARNET GUARANTEES BODY,ATACGB,"A.T.A 까르네에 의하여 수입되는 물품에 대하여 관세등을 보증 할 책임이 있는 단체

",정보화 및 국제협력,2010-02-26,사용중
59,표준어,ATC,ANATOMICAL THERAPEUTIC CHEMICA,ATC,"ATC(Anatomical The
apeutic Chemical) 코드는 세계보건기구(WHO)에서 개발한 국제적인 의약품 분류 코드로 의약품을 보다 효율적이고 체계적으로 분류하기 위해 개발한 치료제군별 의약품 분류

",전자정부,2010-11-08,사용중
60,표준어,B2B,BUSINESS TO BUSINESS,_B2B,"거래주체인 기업과 기업이 전자상거래를 하는 것이다. 기업이 기업을 대상으로 각종 물품을 판매하는 방식.
",무역 진흥,2006-11-27,사용중
61,표준어,BATCH구동자,BATCH EXECUTOR,BTCHEXOR,"관세환급 배치 프로그램을 실행하는 담당자 또는 시스템

",정보화 및 국제협력,2010-02-26,사용중
62,동의어,BBS,BULLETIN BOARD SYSTEM,BBS,"揭示板
 웹 전자 게시판의 줄임말
",전자정부,2006-12-28,사용중
63,표준어,BIT,BILATERAL INVESTMENT TREATY,_BIT,"양자간 투자협정. 원칙적으로 내외국인 구별하지 않고 투자에 관한 한 동등한 권리를 부여하는 것
",경제협력,2006-11-24,사용중
64,동의어,BIT,BIT,BIT,"정보량의 최소 기본 단위. 1비트는 이진수 체계(0, 1)의 한 자리로, 8비트는 1바이트이다.
",전자정부,2006-11-17,사용중
65,동의어,BK21,BRAIN KOREA 21,_BK21,"교육부가 21세기를 선도할 인재 양성을 목적으로 1999년부터 7개년에 걸쳐 시행하는 교육개혁정책.
",대학(원)교육 연구역량 강화,2006-12-05,사용중
66,동의어,BL,BILL OF LANDING,_BL,"船荷證券
 해상 운송에서, 화물의 인도 청구권을 표시한 유가 증권.
",전자정부,2006-12-28,사용중
67,표준어,BMS,BUS MANAGEMENT SYSTEM,BMS,"[버스종합사령실] 지피에스(GPS)를 기반으로 버스 운행과 관련된 각종 정보를 시민들에게 실시간으로 제공해 주는 체계

",전자정부,2010-02-25,사용중
68,표준어,BOM,BILL OF MATERIAL,BOM,"모든 품목에 대해 상위 품목과 부품의 관계와 사용량, 단위 등을 표시한 list, 도표, 또는 그림

",관세 행정지원,2011-11-01,사용중
69,표준어,BSE관련수입금지품목,IMPORT PROHIBITED ITEMS REGARDING BSE,IPIRB,"2001년 국제 문제화되었던 광우병과 관련하여 그  전염체가 될 수 있거나 직접적인 발생원인체 등으로 추정되는 물품이나 그 생산관련품 등으로서 수입이 금지되는 품목

",수출입통관,2010-02-26,사용중
70,표준어,C4I,"COMMAND, CONTROL, COMMUNICATION, COMPUTER, INTELLI",_C4I,"현대전에서 승리하기 위하여 꼭 필요한 5대 요소를 아울러 이르는 말. ‘지휘(COMMAND)’, ‘통제(CONTROL)’, ‘통신(COMMUNICATION)’, ‘컴퓨터(COMPUTER)’, ‘정보(INTELLIGENCE)’의 로마자 머리글자를 딴 말
",국방정보화,2006-11-27,사용중
71,표준어,CCTV,CLOSED CIRCUIT TELEVISION,CCTV,"폐쇄회로 텔레비전 특정 건축물 또는 특정 시설등에서 유선 텔레비전을 이용해 영상을 전달하는 장치 은행 등 보안이 필요한 곳에서 이용하고 있다.

",전자정부,2010-02-23,사용중
72,표준어,CD,COMPACT DISC,CD,"콤펙트디스크

",전자정부,2009-12-29,사용중
73,동의어,CIS,COMMONWEALTH OF INDEPENDENT STATES,_CIS,"1991년 12월 31일 소련(소비에트사회주의공화국연방:USSR)이 소멸되면서 구성공화국 중 11개국이 결성한 정치공동체.
",국제교육 진흥,2006-11-24,사용중
74,표준어,CO2,CO2                       ,_CO2,"이산화탄소의 화학기호                                                                                                                       

",기후변화 대응,2007-10-25,사용중
75,표준어,COB업체,COURIER ON BOARD COMPANY,COBCOMP,"COB(Cou
ie
 on Boa
d) 화물을 항공기 또는 선박을 이용하여 외국에서 국내로, 국내에서 외국으로 휴대반출입하는 것을 업으로 하는 자로서 세관장에게 등록한 사업자

",정보화 및 국제협력,2010-02-26,사용중
76,표준어,CPU,CENTRAL PROCESSING UNIT,CPU,"컴퓨터에서, 두뇌(頭腦)에 해당하는 작용을 하는 부분. 기억 장치?제어 장치?연산 장치 따위로 이루어짐. 시피유(CPU).

",전자정부,2010-02-25,사용중
77,표준어,CS,CLIENT SERVER,CS,"클라이언트(client)를 서비스 요구자로, 서버(se
ve
)를 서비스 제공자의 형태로 네트워킹하여 자원을 공유하는 분산처리기법

",전자정부,2010-02-25,사용중
78,표준어,CSR,CUSTOMER SERVICE RESPONSE,CSR,"고객 서비스 응대

",교육인적자원 행정지원,2010-05-13,사용중
79,표준어,DBMS,DATABASE MANAGEMENT SYSTEM,DBMS,"컴퓨터에 수록한 수많은 자료들을 쉽고 빠르게 추가?수정?삭제할 수 있도록 해주는 소프트웨어.
",전자정부,2006-11-23,사용중
80,표준어,DDA,DOHA DEVELOPMENT AGENDA,_DDA,"2001년 11월 14일 카타르 도하 각료회의에서 합의된 세계무역기구(WTO) 제4차 다자간 무역협상.
",경제협력,2006-11-24,사용중
81,표준어,DMB,DIGITAL MULTIMEDIA BROADCASTING,DMB,"영상, 음악 등 각종 멀티미디어 신호를 각종 휴대 단말기에 디지털 방식으로 전송하는 방송 서비스

",전자정부,2010-02-25,사용중
82,표준어,DNA,DEOXYRIBONUCLEIC ACID,_DNA,"유전자의 본체. 디옥시리보오스를 함유하는 핵산으로 바이러스의 일부 및 모든 생체 세포 속에 있으며, 진핵 생물에서는 주로 핵 속에 있다. 아데닌, 구아닌, 시토신, 티민의 4종의 염기를 함유하며, 그 배열 순서에 유전 정보를 포함한다.
",국민생활안전,2006-11-27,사용중
83,표준어,DOI,DIGITAL OBJECT IDENTIFIER,_DOI,"디지털 콘텐츠에 부여하는 일종의 바코드로 저작물의 정보를 쉽게 식별하고 추적할 수 있게 한 표준정보 식별문자

",지방재정,2007-08-27,사용중
84,표준어,DW,DATA WAREHOUSE                        ,_DW,"정보를 일괄 관리하는 데이터 베이스.                                                                                                    

",기후변화 대응,2007-10-25,사용중
85,표준어,eSeal,ELECTRONIC SEAL,ESEAL,"컨테이너의 개장 인식 모듈, GPS모듈, CDMA 모듈이 탑재되어 있으며 컨테이너에 부착되어 컨테이너 상태정보를(위치, 개장여부) CDMA통신을 이용하여 서버에 전송하는 기능을 가진 봉인 장치

",수출입통관,2010-10-25,사용중
86,표준어,EAI,ENTERPRISE APPLICATION INTEGRATION,EAI,"기업애플리케이션통합
기업 내 상호 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 중앙 집중적으로 통합, 관리, 사용할 수 있는 환경을 구현하는 것

",교육인적자원 행정지원,2010-06-24,사용중
87,표준어,EDA,EVENT DRIVEN ARCHITECTURE,EDA,"이벤트(데이터 신호)가 발생할 경우, 이벤트 패턴을 감지
순차적으로 처리를 하다가 정해진 특정 상황이 발생하면 Action실행(알림 등)

",관세 행정지원,2010-12-20,사용중
88,동의어,EITC,EARNED INCOME TAX CREDIT,_EITC,"근로소득에 대한 세액공제액이 소득세액보다 많을 경우 그 차액을 환급해 주는 제도.
",사회복지기반조성,2006-11-27,사용중
89,표준어,EPID,EPID,EPID,"중앙선관위에서 서비스하는 콘텐츠의 고유 아이디

",입법 및 선거관리,2006-12-26,사용중
90,표준어,ERA시스템,ELECTRONIC RECORDS ACHIVES SYSTEM,ERASYS,"미국에서는 전자적 업무환경에서 발생하는 국가기록물의 관리와 이용문제를 해결하기 위해 전 국가적 차원으로 기록관리 시스템 혁신을 추진 중에 있다.

",관세 행정지원,2010-02-26,사용중
91,표준어,ETT,EXTRACION TRANSFORMATION TRANSPORTATION,ETT,"추출/변환/전송

",관세 행정지원,2010-12-20,사용중
92,표준어,FAQ,FREQUENTLY ASKED QUESTION,_FAQ,"초보자가 자주 하는 질문에 대한 답변을 정리하여 뉴스그룹에 정기적으로 게시하는 파일.
",전자정부,2006-11-23,사용중
93,표준어,FCL,FULL CONTAINER LOAD ,FCL,"콘테이너에 들어 있는 화물 전부를 1명의 화주가 소유하고 있는 콘테이너화물을 말한다.

",수출입통관,2010-06-24,사용중
94,표준어,FCL컨테이너화물,FULL CONTAINER CARGO LOAD,FCCL,"화주가 운송을 위탁한 화물의 부피가 커 하나의 콘테이너에 충분히 적재할 수 있는 것으로 보통 한명의 송화인과 한명의 수하인이 있다

",수출입통관,2010-02-26,사용중
95,표준어,FOB,FREE ON BOARD,FOB,"매도인(수출업자)이 약속한 화물을 매수인(수입업자)이 지정한 선박에 적재하고 본선상에서 화물의 인도를 마칠 때까지의 일체 비용과 위험을 부담하는 무역거래 조건

",관세 행정지원,2011-11-01,사용중
96,동의어,FTA,FREE TRADE AGREEMENT,_FTA,"국가간 상품의 자유로운 이동을 위해 모든 무역 장벽을 제거시키는 협정.
",국제농업 통상협력,2006-11-24,사용중
97,표준어,FTP,FILE TRANSFER PROTOCOL,FTP,"[파일전송프로토콜] 인터넷 상에서 파일의 송수신을 담당하는 프로토콜.

",전자정부,2010-02-25,사용중
98,표준어,G2B,GOVERNMENT TO BUSINESS,_G2B,"정부-기업간 거래. 정부 전자조달. 물품이나 용역의 입찰, 공문서 교환 등
",조달물자 공급,2006-11-27,사용중
99,표준어,G4B,GOVERNMENT FOR BUSINESS,_G4B,"기업의 활동주기인 창업에서부터 폐업에 이르는 활동에 수반되는 민원행정, 산업정보 및 부가서비스를 시공간적 제약 없이 ONE-STOP으로 서비스하는 기업을 위한 전자정부 서비스
",산업기술표준 및 제품안전관리,2006-11-27,사용중
100,표준어,G4C,GOVERNMENT FOR CITIZEN,_G4C,"민원서비스혁신사업
",전자정부,2006-11-23,사용중
101,표준어,GDP,GROSS DOMESTIC PRODUCT,_GDP,"국내총생산은 한 나라의 영역 내에서 가계, 기업, 정부 등 모든 경제주체가 일정기간동안 생산 활동에 참여하여 창출한 부가가치 또는 최종생산물을 시장가격으로 평가한 합계로서 여기에는 국내에 거주하는 비거주자(외국인)에게 지불되는 소득과 국내 거주자가 외국에 용역을 제공함으로써 수취한 소득이 포함된다.

",경제정책,2008-01-07,사용중
102,표준어,GIS,GEOGRAPHIC INFORMATION SYSTEM,GIS,"지구 전체를 대상 범위로 하는 정보 시스템. 이것은 인공위성을 사용하여 우주 공간으로부터 지구 표면 전체를 계통적으로 반복 관측하여 지구 환경의 실태와 변화에 관한 정보를 제때에 얻는 것을 목적으로 사용

",전자정부,2010-02-25,사용중
103,동의어,GMO,GENETICALLY MODIFIED ORGANISM,_GMO,"생산성 향상과 상품의 질 강화를 위해 본래의 유전자를 변형시켜 생산된 농산물.
",농산물 유통,2006-12-05,사용중
104,표준어,GPS,GLOBAL POSITIONING SYSTEM,_GPS,"비행기?선박?자동차뿐만 아니라 세계 어느 곳에서든지 인공위성을 이용하여 자신의 위치를 정확히 알 수 있는 시스템.
",전자정부,2006-11-17,사용중
105,표준어,HELPDESK,HELPDESK,HLPDSK,"정보 시스템 이용자로부터의 문의나 지원 업무를 담당함
",전자정부,2006-11-23,사용중
106,표준어,HPA,HECTOPASCAL,HPA,"기상학에서 사용하는 기압의 단위를 말하며 1hPa은 1㎡의 넓이에 1N의 힘이 작용할 때의 압력을 말하는 1Pa의 100배이다.

",전자정부,2010-02-25,사용중
107,표준어,HTML,HYPERTEXT MARKUP LANGUAGE                 ,_HTML,"HTML                                                                                                                                   

",기후변화 대응,2007-10-25,사용중
108,동의어,HW,HARDWARE,_HW,"컴퓨터, 통신 및 기타 정보기술이 이용되는 장치들에 있어 물리적인 측면
",전자정부,2006-12-05,사용중
109,표준어,HW자원,HARDWARE RESOURCE,HDWRSC,"컴퓨터의 중앙처리장치,기억장치,입출력장치와 같은 전자 ?기계장치의 몸체 그 자체를 가리킴
",전자정부,2006-11-23,사용중
110,표준어,IBRD,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPM,_IBRD,"제이 차 세계 대전 후에 경제를 부흥하고 개발도상국을 개발하기 위하여 설립한 국제 은행. 주로 장기 자금을 제공해 준다.
",학교교육 내실화,2006-11-27,사용중
111,표준어,ID,ID,ID,"특정한 목적의 식별자로 사용되기 위해 설계된 숫자 또는 문자의 나열
",전자정부,2006-11-17,사용중
112,표준어,IDA,INTERNATIONAL DEVELOPMENT ASSOCIATION,_IDA,"개발도상 국의 경제 개발을 원조하기 위한 자금을 종래보다 완화한 조건으로 융자해 주는 국제 금융 기관. 1960년에 설립
",학교교육 내실화,2006-11-27,사용중
113,표준어,IEA,INTERNATIONAL ENERGY AGENCY        ,_IEA,"국제에너지 기구.                                                                                                                       

",기후변화 대응,2007-10-25,사용중
114,표준어,ILC,INTERNATIONAL LAW COMMISSION OF THE UNITED NATIONS,_ILC,"1947년 설치한 유엔 총회 산하의 특별 위원회. 국제법을 정비하고 법전으로 만들기 위한 목적으로 구성하였다.
",조약 및 국제법,2006-11-27,사용중
115,동의어,IMO,INTERNATIONAL MARITIME ORGANIZATION,_IMO,"배의 항로, 교통 규칙, 항만 시설 따위의 국제적 통일을 목적으로 설립한 국제 연합의 전문 기구. 1982년에 정부 간 해사 협의 기구를 고친 것이다.
",해양 및 해상교통 안전관리,2006-11-24,사용중
116,표준어,IP,INTERNET PROTOCOL,_IP,"OSI 기본 참조 모델에서 제3계층인 망 계층에 해당하는 프로토콜. TCP/IP의 일부로 사용된다.
",전자정부,2006-11-23,사용중
117,표준어,IPV6,INTERNET PROTOCOL VERSION 6,_IPV6,"IP 주소체계인 IPV4의 단점을 개선하기 위해 개발된 새로운 IP 주소체계
",정보이용 활성화,2006-11-27,사용중
118,표준어,ISBN,INTERNATIONAL STANDARD BOOK NUMBER,_ISBN,"국제 표준 도서 번호

",지방재정,2007-08-27,사용중
119,표준어,ISO,INTERNATIONAL STANDARDS ORGANIZATION,_ISO,"1946년 나라마다 다른 공업 규격을 국제적으로 조정하고 표준화하기 위하여 영국의 런던에서 설립한 국제기구. 우리나라는 1963년에 가입하였다.
",산업기술표준 및 제품안전관리,2006-11-27,사용중
120,표준어,ISSN,INTERNATIONAL STANDARD SERIAL NUMBER,_ISSN,"국제 표준 간행물 일련 번호

",지방재정,2007-08-27,사용중
121,표준어,IT,INFORMATION TECHNOLOGY,_IT,"컴퓨터 하드웨어 소프트웨어 통신장비 관련 서비스와 부품을 생산하 는 산업을 통칭.
",IT 산업 기반조성,2006-11-27,사용중
122,표준어,ITA,INFORMATION TECHNOLOGY ARCHITECTURE,_ITA,"일정한 기준과 절차에 따라 업무, 응용, 데이터, 기술, 보안 등 조직 전체의 정보화 구성요소들을 통합적으로 분석한 뒤 이들 간의 관계를 구조적으로 정리한 체제 및 이를 바탕으로 정보시스템을 효율적으로 구성하기 위한 방법
",전자정부,2006-11-23,사용중
123,표준어,ITA도구,ITA TOOL,ITATL,"기업의 비즈니스 모델 및 이를 지원하기 위한 데이터, 애플리케이션, 기술 아키텍처 정보 및 이들 간의 관계를 체계적으로 정의, 저장, 공유하기 위한 시스템적인 기능을 제공하는 인프라
",전자정부,2006-11-23,사용중
124,표준어,ITA비전,ITA VISION,ITAVS,"ITA를 통해 실현하고자 하는 형상화된 미래의 모습, 그리고 형상화된 미래의 모습을 실현해 나아가기 위한 최상위 수준의 신조에 대한 진술
",전자정부,2006-11-23,사용중
125,표준어,ITA원칙,ITA PRINCIPLE,ITAP,"기관의 ITA 비전을 달성하기 위한 상위 수준의 규범으로서 업무와 정보기술 적용의 전반에 걸쳐 반드시 지켜야 하는 기본적인 약속
",전자정부,2006-11-23,사용중
126,표준어,IT산업,INFORMATION TECHNOLOGY INDUSTRY,ITIDSTR,"IT産業
 컴퓨터 하드웨어 소프트웨어 통신장비 관련 서비스와 부품을 생산하 는 산업
",IT 산업 기반조성,2006-11-17,사용중
127,표준어,JPEG,JOINT PHOTOGRAPHIC EXPERTS GROUP,JPEG,"국제 표준 규격으로 된 이미지 저장 방식의 하나로 이미지를 포함한 파일의 사이즈를 줄이는 기술 또는 그렇게 줄인 파일

",전자정부,2010-02-23,사용중
128,표준어,KIMS분류,KIMS CLASSIFICATION,KIMSCL,"KIMS분류는 의사들이 많이 참조하는 약물 분류 코드로서 복지부 코드를 조금 더 세분화한 분류 코드이다.

",전자정부,2010-11-08,사용중
129,표준어,KIS,KOREA INFORMATION SERVICE,KIS,"관세청 심사(통관적법성)부문 외부(KIS:한국신용평가정보)연계자료

",관세심사,2010-09-03,사용중
130,표준어,KMS,KNOWLEDGE MANAGEMENT SYSTEM,KMS,"조직내의 인적자원들이 축적하고 있는 개별적인 지식을 체계화하여 공유함으로써 기업경쟁력을 향상시키기 위한 기업정보시스템

",교육인적자원 행정지원,2010-05-13,사용중
131,동의어,KOTRA,KOREA TRADE-INVESTMENT PROMOTION AGENCY,KOTRA,"무역진흥과 국내외 기업 간의 투자 및 산업?기술 협력의 지원을 통해 국민경제 발전에 이바지할 목적으로 설립된 정부투자기관.
",무역 진흥,2006-11-27,사용중
132,표준어,LAN,LOCAL AREA NETWORK,_LAN,"범위가 그리 넓지 않은 일정 지역 내에서 다수의 컴퓨터나 OA 기기 등을 속도가 빠른 통신선로로 연결하여 기기간에 통신이 가능하도록 하는 근거리 통신망.
",전자정부,2006-11-23,사용중
